mode,run,branch,was_winner,cancelled,result_numeric,result_detail,condition_value,condition_duration_ms,branch_start_ms,branch_end_ms,branch_duration_ms,total_duration_ms,error
especulativo,1,B,false,true,0,count=0,3226987,5.822,0.014,5.826,5.812,21.873,
especulativo,1,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3226987,5.822,0.006,21.871,21.865,21.873,
especulativo,2,B,false,true,0,count=0,3250444,5.344,0.059,5.347,5.288,21.133,
especulativo,2,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3250444,5.344,0.025,21.130,21.104,21.133,
especulativo,3,B,false,true,0,count=0,3232960,5.325,0.061,5.328,5.267,21.261,
especulativo,3,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3232960,5.325,0.028,21.258,21.229,21.261,
especulativo,4,B,false,true,0,count=0,3257120,5.720,0.063,5.724,5.661,21.480,
especulativo,4,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3257120,5.720,0.028,21.478,21.450,21.480,
especulativo,5,B,false,true,0,count=0,3236393,5.575,0.060,5.578,5.518,21.802,
especulativo,5,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3236393,5.575,0.026,21.798,21.772,21.802,
especulativo,6,B,false,true,0,count=0,3241387,5.252,0.061,5.255,5.194,21.220,
especulativo,6,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3241387,5.252,0.028,21.217,21.189,21.220,
especulativo,7,B,false,true,0,count=0,3232718,5.485,0.059,5.487,5.428,21.464,
especulativo,7,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3232718,5.485,0.025,21.461,21.436,21.464,
especulativo,8,B,false,true,0,count=0,3246777,5.665,0.061,5.668,5.608,21.643,
especulativo,8,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3246777,5.665,0.029,21.640,21.611,21.643,
especulativo,9,B,false,true,0,count=0,3243155,5.356,0.061,5.359,5.298,21.168,
especulativo,9,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3243155,5.356,0.028,21.165,21.137,21.168,
especulativo,10,B,false,true,0,count=0,3237580,5.287,0.059,5.290,5.231,21.145,
