mode,run,branch,was_winner,cancelled,result_numeric,result_detail,condition_value,condition_duration_ms,branch_start_ms,branch_end_ms,branch_duration_ms,total_duration_ms,error
especulativo,1,A,false,true,0,hash=,314115,0.531,0.015,0.542,0.528,44.140,
especulativo,1,B,true,false,41538,"count=41538,last=499979",314115,0.531,0.051,44.135,44.084,44.140,
especulativo,2,A,false,true,0,hash=,314628,0.766,0.017,0.777,0.760,31.708,
especulativo,2,B,true,false,41538,"count=41538,last=499979",314628,0.766,0.040,31.704,31.664,31.708,
especulativo,3,A,false,true,0,hash=,318580,0.569,0.010,0.572,0.563,25.894,
especulativo,3,B,true,false,41538,"count=41538,last=499979",318580,0.569,0.035,25.893,25.857,25.894,
especulativo,4,A,false,true,0,hash=,320021,0.728,0.018,0.729,0.712,24.646,
especulativo,4,B,true,false,41538,"count=41538,last=499979",320021,0.728,0.051,24.644,24.593,24.646,
especulativo,5,A,false,true,0,hash=,321172,0.497,0.030,0.499,0.470,24.290,
especulativo,5,B,true,false,41538,"count=41538,last=499979",321172,0.497,0.063,24.288,24.225,24.290,
especulativo,6,A,false,true,0,hash=,318164,0.495,0.030,0.498,0.468,24.261,
especulativo,6,B,true,false,41538,"count=41538,last=499979",318164,0.495,0.063,24.256,24.193,24.261,
especulativo,7,A,false,true,0,hash=,318709,0.658,0.024,0.660,0.635,24.634,
especulativo,7,B,true,false,41538,"count=41538,last=499979",318709,0.658,0.061,24.632,24.571,24.634,
especulativo,8,A,false,true,0,hash=,317262,0.489,0.030,0.490,0.461,24.271,
especulativo,8,B,true,false,41538,"count=41538,last=499979",317262,0.489,0.063,24.268,24.205,24.271,
especulativo,9,A,false,true,0,hash=,316027,0.490,0.029,0.491,0.463,24.385,
especulativo,9,B,true,false,41538,"count=41538,last=499979",316027,0.490,0.061,24.382,24.321,24.385,
especulativo,10,A,false,true,0,hash=,317337,0.650,0.030,0.652,0.622,24.494,
especulativo,10,B,true,false,41538,"count=41538,last=499979",317337,0.650,0.066,24.492,24.426,24.494,
especulativo,11,A,false,true,0,hash=,315328,0.489,0.033,0.491,0.458,24.282,
especulativo,11,B,true,false,41538,"count=41538,last=499979",315328,0.489,0.065,24.280,24.216,24.282,
especulativo,12,A,false,true,0,hash=,310376,0.490,0.029,0.491,0.462,24.278,
especulativo,12,B,true,false,41538,"count=41538,last=499979",310376,0.490,0.063,24.276,24.213,24.278,
especulativo,13,A,false,true,0,hash=,316569,0.646,0.030,0.647,0.618,24.767,
especulativo,13,B,true,false,41538,"count=41538,last=499979",316569,0.646,0.066,24.764,24.699,24.767,
especulativo,14,A,false,true,0,hash=,314871,0.498,0.030,0.500,0.470,24.301,
especulativo,14,B,true,false,41538,"count=41538,last=499979",314871,0.498,0.064,24.299,24.234,24.301,
especulativo,15,A,false,true,0,hash=,318890,0.489,0.029,0.490,0.461,24.276,
especulativo,15,B,true,false,41538,"count=41538,last=499979",318890,0.489,0.062,24.274,24.212,24.276,
especulativo,16,A,false,true,0,hash=,318923,0.678,0.030,0.681,0.650,24.489,
especulativo,16,B,true,false,41538,"count=41538,last=499979",318923,0.678,0.063,24.486,24.424,24.489,
especulativo,17,A,false,true,0,hash=,320100,0.514,0.030,0.517,0.487,24.369,
especulativo,17,B,true,false,41538,"count=41538,last=499979",320100,0.514,0.075,24.366,24.291,24.369,
especulativo,18,A,false,true,0,hash=,312956,0.491,0.027,0.493,0.467,24.305,
especulativo,18,B,true,false,41538,"count=41538,last=499979",312956,0.491,0.060,24.305,24.245,24.305,
especulativo,19,A,false,true,0,hash=,315194,0.652,0.009,0.653,0.644,24.433,
especulativo,19,B,true,false,41538,"count=41538,last=499979",315194,0.652,0.042,24.431,24.389,24.433,
especulativo,20,A,false,true,0,hash=,314369,0.491,0.028,0.492,0.464,24.259,
especulativo,20,B,true,false,41538,"count=41538,last=499979",314369,0.491,0.061,24.257,24.196,24.259,
especulativo,21,A,false,true,0,hash=,311454,0.492,0.027,0.494,0.467,24.248,
especulativo,21,B,true,false,41538,"count=41538,last=499979",311454,0.492,0.060,24.246,24.186,24.248,
especulativo,22,A,false,true,0,hash=,311146,0.632,0.027,0.635,0.608,24.466,
especulativo,22,B,true,false,41538,"count=41538,last=499979",311146,0.632,0.062,24.465,24.403,24.466,
especulativo,23,A,false,true,0,hash=,319260,0.500,0.027,0.501,0.474,24.245,
especulativo,23,B,true,false,41538,"count=41538,last=499979",319260,0.500,0.061,24.244,24.182,24.245,
especulativo,24,A,false,true,0,hash=,311642,0.492,0.027,0.493,0.467,24.247,
especulativo,24,B,true,false,41538,"count=41538,last=499979",311642,0.492,0.060,24.245,24.185,24.247,
especulativo,25,A,false,true,0,hash=,311400,0.716,0.030,0.722,0.691,24.640,
especulativo,25,B,true,false,41538,"count=41538,last=499979",311400,0.716,0.063,24.637,24.574,24.640,
especulativo,26,A,false,true,0,hash=,318302,0.489,0.028,0.490,0.463,24.302,
especulativo,26,B,true,false,41538,"count=41538,last=499979",318302,0.489,0.063,24.298,24.235,24.302,
especulativo,27,A,false,true,0,hash=,319773,0.498,0.026,0.500,0.474,24.284,
especulativo,27,B,true,false,41538,"count=41538,last=499979",319773,0.498,0.061,24.269,24.208,24.284,
especulativo,28,A,false,true,0,hash=,316609,0.720,0.017,0.722,0.704,24.519,
especulativo,28,B,true,false,41538,"count=41538,last=499979",316609,0.720,0.050,24.516,24.466,24.519,
especulativo,29,A,false,true,0,hash=,315346,0.496,0.031,0.497,0.466,24.271,
especulativo,29,B,true,false,41538,"count=41538,last=499979",315346,0.496,0.069,24.267,24.198,24.271,
especulativo,30,A,false,true,0,hash=,316493,0.496,0.030,0.514,0.484,24.260,
especulativo,30,B,true,false,41538,"count=41538,last=499979",316493,0.496,0.073,24.258,24.184,24.260,
secuencial,1,B,true,false,41538,"count=41538,last=499979",316703,0.459,0.459,19.425,18.966,19.441,
secuencial,2,B,true,false,41538,"count=41538,last=499979",313640,0.479,0.479,19.319,18.839,19.319,
secuencial,3,B,true,false,41538,"count=41538,last=499979",318642,0.453,0.453,19.338,18.885,19.338,
secuencial,4,B,true,false,41538,"count=41538,last=499979",319563,0.457,0.457,19.316,18.859,19.316,
secuencial,5,B,true,false,41538,"count=41538,last=499979",315813,0.454,0.455,19.295,18.840,19.295,
secuencial,6,B,true,false,41538,"count=41538,last=499979",318163,0.456,0.456,19.366,18.910,19.366,
secuencial,7,B,true,false,41538,"count=41538,last=499979",315538,0.586,0.586,19.411,18.825,19.411,
secuencial,8,B,true,false,41538,"count=41538,last=499979",319431,0.453,0.453,19.289,18.836,19.289,
secuencial,9,B,true,false,41538,"count=41538,last=499979",315227,0.454,0.454,19.320,18.866,19.320,
secuencial,10,B,true,false,41538,"count=41538,last=499979",318358,0.459,0.459,19.290,18.831,19.290,
secuencial,11,B,true,false,41538,"count=41538,last=499979",320069,0.460,0.461,19.341,18.881,19.341,
secuencial,12,B,true,false,41538,"count=41538,last=499979",323635,0.460,0.460,19.387,18.926,19.387,
secuencial,13,B,true,false,41538,"count=41538,last=499979",315839,0.455,0.455,19.250,18.795,19.250,
secuencial,14,B,true,false,41538,"count=41538,last=499979",315089,0.454,0.454,19.288,18.834,19.288,
secuencial,15,B,true,false,41538,"count=41538,last=499979",315085,0.460,0.460,19.261,18.801,19.261,
secuencial,16,B,true,false,41538,"count=41538,last=499979",316708,0.459,0.459,19.303,18.844,19.303,
secuencial,17,B,true,false,41538,"count=41538,last=499979",317164,0.471,0.471,19.365,18.894,19.365,
secuencial,18,B,true,false,41538,"count=41538,last=499979",314532,0.462,0.462,19.270,18.809,19.270,
secuencial,19,B,true,false,41538,"count=41538,last=499979",317238,0.465,0.465,19.327,18.862,19.327,
secuencial,20,B,true,false,41538,"count=41538,last=499979",320086,0.456,0.456,19.339,18.883,19.339,
secuencial,21,B,true,false,41538,"count=41538,last=499979",310510,0.453,0.453,19.315,18.862,19.315,
secuencial,22,B,true,false,41538,"count=41538,last=499979",310461,0.467,0.467,19.409,18.942,19.410,
secuencial,23,B,true,false,41538,"count=41538,last=499979",318525,0.494,0.494,19.274,18.780,19.274,
secuencial,24,B,true,false,41538,"count=41538,last=499979",313253,0.459,0.459,19.295,18.836,19.295,
secuencial,25,B,true,false,41538,"count=41538,last=499979",313988,0.472,0.472,19.302,18.830,19.302,
secuencial,26,B,true,false,41538,"count=41538,last=499979",320189,0.470,0.470,19.288,18.818,19.288,
secuencial,27,B,true,false,41538,"count=41538,last=499979",319351,0.488,0.488,19.348,18.860,19.348,
secuencial,28,B,true,false,41538,"count=41538,last=499979",314173,0.590,0.591,19.439,18.848,19.439,
secuencial,29,B,true,false,41538,"count=41538,last=499979",317365,0.453,0.453,19.261,18.808,19.261,
secuencial,30,B,true,false,41538,"count=41538,last=499979",316573,0.454,0.454,19.238,18.784,19.238,

